Index,Category,Project ID,Project Name,State,County,Electrical Area (CREZ),Latitude,Longitude,LCR Area,Technology,Subtechnology,Type,Contract Start Date,Contract End Date,Eligible for Recontr?,Product Content Category,CAISO,Bundled,Deliverability Type,PG&E,SCE,SDG&E,Other CAISO,NonCAISO,Contract Capacity,Annual Energy,Capacity Factor,Technology Index,ELCC Profile,Energy Value Profile,Losses,Degradation,Risk Adjustment,Unit Cost
1321,4,BV_CA_131,CA Wind 182,CA,Imperial,Riverside East,33.3949,-115.2227,0,Wind,,New,1/1/2017,12/31/2041,1,1,1,1,1,0,0,0,1,0,55,187.359975,0.388875,18,Wind - Inland,Wind - Inland,0.011355491,0,0.84,60.31434478
1322,3,PG4067,PCWA (RPS) - French Meadows / Oxbow / Hell Hole,CA,Multiple,Unknown,n/a,n/a,0,Hydro,Small,Existing,1/1/2018,12/31/2037,1,1,1,1,1,0,0,0,1,0,24.6,93.00000004,0.431562535,5,Baseload,Baseload,0,0,1,74.89383943
1323,3,PG7009,Edf Renewable Windfarm V Inc. (10 MW),CA,Solano,Solano,38.142386,-121.841044,0,Wind,,Existing,1/1/2018,12/31/2042,1,1,1,1,1,0,0,0,1,0,10,21.83100002,0.249212329,18,Wind - Coastal,Wind - Coastal,0,0,1,77.86094821
1324,3,PG7019,Edf Renewable Windfarm V Inc. (70 MW - B),CA,Solano,Solano,38.079258,-121.839386,0,Wind,,Existing,1/1/2018,12/31/2042,1,1,1,1,1,0,0,0,1,0,0.7,18.687,3.047455969,18,Wind - Coastal,Wind - Coastal,0,0,1,77.86094821
1325,3,CAISO_LSE_Contract_039,San Gorgonio Wind [W0447],CA,0,n/a,n/a,n/a,0,Wind,,Existing,1/1/2018,12/31/2042,1,1,0,1,1,0,0,0,1,0,49.5,183.7079999,0.42366127,18,Wind - Inland,Wind - Inland,0,0,1,75.93810934
1326,3,CAISO_LSE_Contract_072,Kansas LLC [S0319],CA,0,n/a,n/a,n/a,0,Solar PV,Tracking - 20MW+,Existing,1/1/2018,12/31/2042,1,1,1,1,1,0.349541248,0.353692973,0.078383405,0.218382375,0,20,1.878100025,0.010719749,17,Solar PV - Utility,Solar PV - Tracking,0,0.007,1,1067.186655
1327,3,CAISO_LSE_Contract_105,MN Milliken Genco LLC Unit 1-2 [E0206],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,1/1/2018,12/31/2037,1,1,1,1,1,0.349541248,0.353692973,0.078383405,0.218382375,0,2.6,9.897666675,0.434565625,1,Baseload,Baseload,0,0,1,152.0077867
1328,3,CAISO_LSE_Contract_106,MN Mid Valley Genco LLC 1-2 [E0209],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,1/1/2018,12/31/2037,1,1,1,1,1,0,0,0,1,0,2.6,12.53166666,0.550213675,1,Baseload,Baseload,0,0,1,108.4066351
1329,3,PG2025,Wheelabrator Shasta,CA,Shasta,Round Mountain - B,40.428259,-122.275478,0,Biomass,Large,Existing,5/1/2018,4/30/2038,1,1,1,1,1,0,0,0,1,0,54.9,388.822,0.808489491,3,Baseload,Baseload,0,0,1,101.840428
1330,3,PG2026,Wadham Energy LP,CA,Colusa,Sacramento River,39.1067,-122.109722,0,Biomass,Large,Existing,6/1/2018,5/31/2038,1,1,1,1,1,0.182971018,0.185144282,0.041030612,0.590854088,0,26.5,141,0.607392091,3,Baseload,Baseload,0,0,1,119.6505149
1331,3,PG4057,Nelson Creek Power Inc.,CA,Shasta,Round Mountain - B,40.870954,-121.912537,0,Hydro,Small,Existing,12/19/2018,12/18/2038,1,1,1,1,1,0,0,0,1,0,1.1,2.9,0.300954753,5,Baseload,Baseload,0,0,1,74.89383943
1332,3,PG4071,Santa Clara Valley Water Dist.,CA,Santa Clara,Santa Clara County,37.158145,-121.637451,0,Hydro,Small,Existing,12/1/2018,11/30/2038,1,1,1,1,1,0.349541248,0.353692973,0.078383405,0.218382375,0,0.8,0.795000001,0.113441781,5,Baseload,Baseload,0,0,1,187.7569989
1333,3,PG7017,Green Ridge Power LLC (5.9 MW),CA,San Joaquin,Solano,37.706326,-121.717358,0,Wind,,Existing,3/2/2018,3/1/2043,1,1,1,1,1,0,0,0,1,0,5.9,11.20900001,0.216875629,18,Wind - Coastal,Wind - Coastal,0,0,1,77.86094821
1334,3,PG7023,International Turbine Research,CA,Merced,Santa Clara County,37.066444,-121.21862,0,Wind,,Existing,6/14/2018,6/13/2043,1,1,1,1,1,0.349541248,0.353692973,0.078383405,0.218382375,0,34,24.57600014,0.082514102,18,Wind - Inland,Wind - Inland,0,0,1,132.6368171
1335,3,SC44026,Desert Water Agency (Snow Creek),CA,Riverside,Palm Springs,33.8882,-116.683742,0,Hydro,Small,Existing,2/2/2018,2/1/2038,1,1,1,1,1,0,0,0,1,0,0.3,0.5,0.190258752,5,Baseload,Baseload,0,0,1,112.3610528
1336,3,SC76090,Alta Mesa Pwr. Purch. Contract Trust,CA,Riverside,Palm Springs,33.9417,-116.658333,0,Wind,,Existing,12/31/2018,12/30/2043,1,1,1,1,1,0,0,0,1,0,27,62.8999999,0.265939455,18,Wind - Inland,Wind - Inland,0,0,1,75.93810934
